age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
												EH	1		THEN		728.5	1754.9	2699.9	96.1	116	375	60.716	60.649	60.849	0.2																723.1	1764.7	729.6	1751.8	743.7	1748.5	731.7	1744.2	687.9	1737.4	5	749	1748	2710	2.4423	1	then	60.7362
												EY	1		EIGHTY		479.2	2194.6	2877	256.9	532.9	365.2	61.455	61.442	61.562	0.12																449.2	2204.6	422.9	2334.2	416.1	2381.1	408.8	2386.6	392.8	2269.1	5	420	2377	2959	21.14101	1	eighty	61.4911
												EY	1		EIGHTY		493.6	2319.1	2990.2	225.4	235	340.4	62.767	62.739	62.879	0.14																493.6	2319.1	432.8	2350.7	435.3	2398.3	439.4	2416.4	427	2390.2	5	432	2329	2950	21.14101	1	eighty	62.8031
												AY	1		NINE		789.8	1541	3107	80.5	140.9	292	63.113	63.069	63.279	0.21																789.7	1553.2	786.1	1449	781.2	1543.2	752.2	1706.6	649.8	1909.2	5	791	1460	3082	41.4424	1	nine	63.1421
												EH	1		THERE		582.9	1702.9	2220.8	191.6	137.7	213.3	66.116	66.043	66.263	0.22																637.6	1721.4	574.3	1700.6	556.1	1667.4	541.4	1647.1	495.5	1650.5	6	669	1681	2540	24.6003	1	there	66.0624
												AE	1		BACK		598.7	1989.4	3253.7	66.4	185.7	1078.8	66.939	66.899	67.019	0.12																592.4	1971.4	600.1	1989.4	616.1	1967.4	637.7	2023.4	676.6	2212.3	4	603	1893	2594	3.1611	1	back	66.9498
												EH	1		CONNECTICUT		712.3	1724.9	2772.8	79.8	181.3	995.1	67.662	67.639	67.709	0.07																716.6	1738.8	708.7	1721.7	675.8	1713.5	629.7	1700.7	580.8	1668.7	5	720	1708	2754	2.16145	1	(Con)necticut	67.6621
												IY	1		THREE		426.7	2452.2	3910.5	244.7	181.8	1384.7	70.29	70.273	70.323	0.05																422.9	2380	426.7	2452.2	428.1	2542.4	425.1	2595.2	423.6	2609.4	3	395	1902	2798	12.0008	1	three	70.2661
												AA	1		GOT		649	1606.3	2506.5	73.3	284.1	625.3	73.008	72.981	73.061	0.08																585	1631.8	654.5	1603	710.7	1559.5	743.3	1552	726.1	1529.5	5	744	1559	2640	5.1416	1	got	73.0268
												AE	1		BACK		672.2	1887.3	2256.6	92.6	180.3	804	73.15	73.12	73.21	0.09																654.4	1855.4	672.9	1888	664.3	1871.3	658.1	1823.6	636.4	1741.6	6	705	1926	2783	3.1611	1	back	73.1493
												EH	1		TOGETHER		654	1760.6	2877.7	112.2	259.4	759.2	73.421	73.391	73.48	0.089																612.2	1853.1	657.8	1756.2	713	1689.6	739.6	1619.8	715	1540.7	5	735	1683	3150	2.33161	1	(to)gether	73.4399
												AE	1		DAD		649.8	1973	2667.1	128.9	263.4	350.3	76.054	75.994	76.174	0.18																622.5	1898.3	646.1	1976.2	627.6	1920.4	654.5	1916.3	642.9	1871.8	5	688	2022	2737	3.1423	1	dad	76.0439
												AW	1		OUT		807.4	1589.4	2224.4	65.2	178.7	1927.7	79.434	79.409	79.509	0.1																803.8	1592.2	821	1522.1	821.9	1444.3	816.2	1376.7	800.5	1314.1	6	840	1486	2783	42.141	1	out	79.4541
												EH	1		EVER		622.3	1805.9	2672.5	72.6	206.7	354.1	80.038	80.018	80.079	0.061																612.9	1860.9	622.9	1797.8	625.3	1699.3	620.9	1600.4	607.3	1534.7	5	632	1734	2613	2.32201	1	ever	80.0481
												AO	1		FORTH		575.5	1064.8	2125	144.5	935.3	823.7	81.558	81.518	81.637	0.119																537.1	1143.3	581	1064.6	601.3	945.1	583.8	962.7	583.2	1029.6	6	564	918	2115	64.6001	1	forth	81.5909
												IH	1		DID		511.2	1704.5	2431.6	49	92.2	220	88.758	88.715	88.845	0.13																482.8	1655.2	513.7	1708	542.4	1709.4	569.6	1721.7	564.4	1728.6	5	580	1693	2328	1.1423	1	did	88.8074
												AE	1		ACTUALLY		593.1	1806.1	2433.9	67.8	170.3	547.8	88.915	88.875	88.995	0.12																595.2	1767.5	595.1	1805.5	606.9	1792.6	597.8	1735.8	554.9	1672.6	6	600	1793	2418	3.16105	1	actually	88.9256
												AO	1		FOUR		499.1	867.1	2243.1	52	108	464	90.782	90.755	90.836	0.081																502.5	896.1	499.1	867.8	498.5	893.3	490.9	953.7	478.9	1037.7	6	500	866	2175	64.6001	1	four	90.7761
												EH	1		REMEMBER		722.6	1680.1	2379.3	194.7	126.7	314.9	95.923	95.903	95.963	0.06																705.2	1699.8	722.4	1676.4	708.9	1634.6	663.9	1599.9	614.6	1580.8	6	741	1668	2312	2.41224	1	(re)member	95.9256
												EY	1		NAME		629.8	1937.3	2516.5	202.4	152.9	254.2	96.198	96.163	96.293	0.13																602.1	1916.2	594.9	1963	510.9	2009.2	495.3	2007	478.3	1899.9	5	684	1927	2480	21.4124	1	name	96.1963
												OW	1		JONES		653.8	1256.8	2501.8	303.8	174.3	745.7	96.926	96.913	97.073	0.16																658.3	1222.7	775	1383.7	672.2	1502.6	577.6	1328.4	669.2	1039	5	689	1279	2470	62.4425	1	Jones	96.9413
												AY	1		HIGHSCHOOL		861.2	1515.7	2714.4	87.7	133.9	577.2	100.88	100.891	100.972	0.081								s								800.2	1671.7	737.1	1722.3	654.2	1779	569.8	1805.5	511.4	1796.4	5	838	1588	2509	47.34201	1	highschool	100.8914
												AE	1		GRADUATED		599.2	1803.5	2934.5	87.4	187.3	472.1	101.339	101.312	101.392	0.08																586.2	1771.4	599.6	1807.5	594.9	1842.7	569.5	1870.3	518.1	1897.7	4	591	1727	2507	3.25282	1	graduated	101.3444
												AH	1		MOTHER		689.1	1143.7	2664.2	88.5	76.1	605	109.664	109.641	109.711	0.07																714.4	1138.2	684.2	1143.6	609.6	1140.5	538.3	1150.3	481.2	1167.4	5	708	1125	2437	6.33121	1	mother	109.6535
												AO	1		BORN		608.6	846.3	2601	157.8	505.2	513.5	110.232	110.192	110.312	0.12																585.8	800.6	613.3	851.9	626.1	923	610.8	999.8	599.4	1098.7	5	625	902	2650	54.6001	1	born	110.2447
												EH	1		AREA		543.9	1782.1	2353.8	58.4	154.7	300.4	110.848	110.822	110.901	0.079																534	1815.5	544.5	1776.1	544.4	1742	543.8	1705.9	542.5	1688.9	6	543	1746	2332	24.60001	1	area	110.8572
												AA	1		ADOPTED		820.1	1562.7	2883.3	43.9	178	459.5	111.843	111.78	111.97	0.19																675.1	1552.2	827	1561.1	828.5	1527	837.7	1468.3	790.1	1448.9	5	844	1537	2152	5.11133	1	(a)dopted	111.8957
												AA	1		ROCHESTER		779.3	1588.6	2951.5	73	165.4	331.5	112.467	112.42	112.56	0.14																786.7	1544	773.5	1588.7	722.2	1623.5	632.7	1630.2	602	1695	5	805	1578	2916	5.16175	1	Rochester	112.457
												EH	2		ROCHESTER		654.4	1629	3039.8	87.5	163.1	560.8	112.683	112.65	112.75	0.1																617.7	1622.6	658.2	1632.6	674.3	1642.4	655.6	1627.9	713.5	1742	5	688	1647	3093	2.34251	1	(Ro)chester	112.6963
												AA	1		ADOPTED		807.1	1598.2	2896.8	40.8	205.7	426	114.017	113.97	114.11	0.14																735.7	1658.4	809.6	1589.6	807	1517.8	774.4	1391.8	710.1	1469.1	5	820	1622	2943	5.11133	1	(a)dopted	114.0225
												EH	1		PARENTS		661.3	1718.8	2234.6	179.1	157.8	247.5	114.36	114.33	114.42	0.09																652	1723.9	665.9	1719.8	682.1	1724	641.9	1714.6	619.8	1691.1	6	726	1842	2592	24.60011	1	parents	114.3615
