age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
												AH	1		COUPLE		818.2	1282.7	1664.1	206.2	128.1	1200.3	146.095	146.078	146.128	0.05																828.8	1266.7	818.2	1282.7	798.7	1262.3	773.7	1243.5	735.4	1221.9	6	899	1326	2815	6.11101	1	couple	146.1011
												EY	1		MAYBE		599.2	2407.7	3080.5	118.9	213.8	402.2	147.859	147.83	147.93	0.1																589.4	2359.9	592.1	2409.6	552.7	2397.9	518.8	2302.7	528.4	2077.5	5	603	2416	3092	21.1122	1	maybe	147.8584
												AH	1		MONTH		984.4	1336.3	2438.2	292.7	175	898.7	148.497	148.46	148.57	0.11																959.2	1256.1	986.1	1348.7	952.2	1423.9	827.9	1447	689	1469.3	6	984	1358	2474	6.44223	1	month	148.5027
												AE	1		HAVE		813.1	2125.1	3157.9	38.2	164.9	359.8	149.203	149.169	149.27	0.101																805.5	2171.4	813.4	2119.4	815.7	1986.3	813.8	1848	806.9	1736.8	4	802	2108	3005	3.322	1	have	149.1912
												AH	1		CLUB		794.2	1329	1893.5	39.6	115.1	2560.6	149.577	149.55	149.63	0.08																799.5	1316.7	793.4	1328.8	777.4	1319.5	722.8	1282.2	604.9	1195.3	6	808	1333	3133	6.1128	1	club	149.5622
												IY	1		ME		620.2	2503.3	3175.4	134.2	312.7	318.1	150.073	150.05	150.12	0.07																628.9	2400.7	618.6	2516.2	616.6	2536.6	615.2	2496	616.1	2447.8	5	618	2576	3218	12.0002	1	me	150.0778
												EH	1		FRIENDS		809	1605.5	2429.3	251.8	167.4	697.3	150.457	150.43	150.51	0.08																772.6	1605.6	811.1	1606	830.1	1619.7	829.9	1637.3	794.4	1639.8	5	848	1637	2731	2.44283	1	friends	150.4788
												OW	1		GO		593.9	1213.2	2190.8	83.7	117.6	474.9	150.755	150.74	150.86	0.12																595.7	1155.6	591.6	1064.7	576	1036.2	564	1080.4	559.5	1158.3	6	657	1082	2539	62.0006	1	go	150.7898
												OW	1		SO		796.8	1454.7	3337.3	153.4	162	177.1	151.312	151.28	151.45	0.17																786	1487.5	839.7	1387.1	891.1	1233.4	866.1	1248.1	830	2914.7	4	756	1489	3056	62.0003	1	so	151.3075
												EH	1		NEVER		860.1	1678.8	2750.2	222.7	190.4	989.1	156.002	155.975	156.055	0.08																794.1	1704.5	863.4	1676.6	860.5	1651.2	829.7	1633.9	782.8	1610.8	5	881	1664	2801	2.32241	1	never	156.0091
