age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
												ER	0		WERE		451.8	1370.6	2216.2	185.7	213.9	795.3	44.5	44.477	44.547	0.07																456.7	1315.3	449.1	1378.1	486.6	1426.4	568.8	1516	692.6	1657.5	6
												AO	1		DIVORCED		618.4	993.1	2131.3	150.5	917.8	472.6	44.787	44.757	44.846	0.089																627	846	614.7	999.1	569.6	1110.3	545.8	1147.4	531.7	1189.2	6
												AE	1		THAT		638.8	1756.9	2718.1	89.7	158	377	45.176	45.146	45.237	0.091																592.8	1719.5	644.7	1762.6	650.1	1791.6	645.4	1799.9	664	1778	6
												EY	1		THEY		538	1851.3	2419.6	97.5	567.5	305.5	45.491	45.478	45.529	0.051																538	1851.3	528.1	1836.1	514.7	1823	507.2	1825.6	509.2	1842.6	5
												AA	1		GOT		744.4	1701	2430.6	71	273.7	305.3	45.576	45.549	45.629	0.08																719.1	1728.8	746.5	1697.4	761.5	1679.2	764.7	1698.8	714	1729.3	6
												AO	1		DIVORCED		623.9	1374.3	2878.1	276.6	808.8	627.1	45.842	45.809	45.909	0.1																584.1	1651.2	626.4	1287.7	640.2	903.2	609.4	977.4	580.8	1137.4	5
												AE	1		THAT		635.8	1818.7	2590.6	129.8	223	434	46.229	46.189	46.308	0.119																644.1	1800.4	634.1	1817.9	637.3	1813.2	651.3	1741.4	662.6	1611.2	5
												OY	1		POINT		667.3	1401.9	2089.2	199.8	202	1207.3	46.509	46.479	46.569	0.09																638.4	1280.6	670.2	1412.5	668.4	1588.3	655.8	1734.4	658.4	1843.2	6
												AE	1		AND		662.9	1803.5	2853.9	244.7	639.6	684.4	47.292	47.275	47.325	0.05																663.6	1815.6	662.9	1803.5	655.5	1706.9	640.4	1561.3	633.3	1460.7	5
												UW	1		MOVED		450.5	1094.2	2079	101.1	173	608.5	47.568	47.525	47.655	0.13																446.5	1064.5	454.5	1087.1	457.5	1041.3	455.9	1074.1	449.7	1089	6
												UW	1		TO		504.1	1735.8	2453.1	139.3	584.7	594.4	47.952	47.945	48.075	0.13																474.8	1664.2	449.2	1611.7	442.7	1620.5	457.1	1625.1	493.5	1521.1	5
												AE	1		BACK		666.3	2061.7	2812.1	74.8	191.4	435.2	48.686	48.653	48.753	0.1																659.5	2040.9	667.1	2060.9	666.7	2058	662.5	2077.6	649.1	2139.8	4
												UW	1		TO		410.1	2119.2	3065.9	297.8	285.9	985.6	48.9	48.893	49.033	0.14																373.3	1987	365.8	1781.6	413.9	1650.2	436.5	1693.2	512.9	2101.6	4
