age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
												OW	0		NEONATAL		685.6	1460.3	2615.5	99.5	105.3	186.9	73.438	73.419	73.529	0.11																686	1431.8	686.7	1306	681.7	1252.3	652.8	1385.5	541.2	1454.3	5
												EY	1		NEONATAL		658.2	2205.3	3064.9	128.1	233.1	585.4	73.599	73.579	73.689	0.11																657.7	2223.7	623.8	2360.6	588.9	2469.5	564.8	2527.9	538.6	2437.4	5
												ER	1		NURSE		718.1	1804	2451.4	105.7	131.9	299.2	73.996	73.949	74.089	0.14																710.7	1815.8	717.9	1804.2	706.4	1793.4	675.8	1787.6	594.6	1874.4	5
												AO	1		OR		690.4	1402	2287.5	81.2	159.3	397.4	74.262	74.239	74.309	0.07																692.7	1423.3	690.1	1398.4	684.6	1353.6	679.9	1331.5	678.3	1336.3	6
												IY	2		PEDIATRIC		483.7	2790.5	3206	359.8	324	473.7	74.552	74.529	74.599	0.07																505.6	2697.4	479.2	2781.7	452.1	2715.9	422.8	2575.8	418.8	2331.3	4
												IY	0		PEDIATRIC		433.8	2574.1	3110.2	158.5	450.1	272.7	74.649	74.619	74.709	0.09																448	2558.5	433.4	2567.6	435.9	2515.4	476.2	2473.4	548.5	2459.3	4
												AE	1		PEDIATRIC		706.7	2212.1	3083.5	157.9	338	313.6	74.742	74.709	74.809	0.1																654.3	2301.5	713.7	2200.6	735.1	2103.7	738.9	2036.5	717.6	2017.7	4
												AA	1		SORRY		719.6	1635	2882.5	101	214.7	1164.5	79.912	79.875	79.985	0.11																690.8	1601.6	724.7	1639.4	749.4	1672	748.7	1684.9	738.2	1685.7	6
												IY	0		SORRY		680	2323.9	3382.5	194.9	313.2	550.2	80.048	80.015	80.115	0.1																699.4	2262	678.3	2327.9	664.9	2331.4	631.3	2558.4	557	2586.3	4
												AE	1		THAT		682.6	1933.8	2997.2	57.4	149.3	248.1	81.626	81.609	81.659	0.05																680.5	1907.5	683.4	1940.4	689	1983.6	688.8	2041.8	692.1	2081.3	5
												AH	0		GOOD		649.6	1784.5	2613.7	112	193.1	266.2	81.762	81.729	81.829	0.1																597.8	1786.4	657.1	1784	696.2	1785.5	697.1	1772.8	642.2	1718.5	5
												AY	1		MY		1000.2	1738.8	2799.8	257.9	136.9	614.4	87.636	87.605	87.745	0.14																996.8	1719.6	932.6	1878.1	746.5	2061.4	680.9	2071.9	593.4	1733.9	5
